vid_name;labeled_train_SVO_ts
dummy;[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]
s01e01_seg01_clip_00;[2, 41]
s01e01_seg01_clip_01;[9, 14, 14]
s01e01_seg01_clip_02;[21, 21, 41, 41, 14, 42]
s01e01_seg01_clip_03;[42]
s01e01_seg01_clip_04;[41, 28, 17, 17, 33, 6, 14]
s01e01_seg01_clip_05;[9, 4, 4, 41, 21, 41]
s01e01_seg02_clip_00;[17, 7]
s01e01_seg02_clip_01;[28, 2, 14]
s01e01_seg02_clip_02;[14, 14, 14]
s01e01_seg02_clip_03;[14, 2, 14, 14]
s01e01_seg02_clip_04;[10, 2]
s01e01_seg02_clip_05;[21, 2, 2]
s01e01_seg02_clip_06;[17, 30, 41, 42]
s01e01_seg02_clip_07;[2, 28, 19, 33, 30]
s01e01_seg02_clip_08;[9, 40, 9]
s01e01_seg02_clip_09;[]
s01e01_seg02_clip_10;[14, 2]
s01e01_seg02_clip_11;[11, 38, 29, 41, 38, 14]
s01e01_seg02_clip_12;[4, 30, 21]
s01e01_seg02_clip_13;[2]
s01e01_seg02_clip_14;[19, 17, 33]
s01e01_seg02_clip_15;[14]
s01e02_seg01_clip_00;[41, 31, 37, 40, 6, 2]
s01e02_seg01_clip_01;[31, 31, 31, 31, 30, 30, 30, 30]
s01e02_seg01_clip_02;[41, 9, 23, 23]
s01e02_seg01_clip_03;[21, 30, 17, 2]
s01e02_seg02_clip_00;[]
s01e02_seg02_clip_01;[5, 41, 5]
s01e02_seg02_clip_02;[14, 11, 11]
s01e02_seg02_clip_03;[]
s01e02_seg02_clip_04;[]
s01e02_seg02_clip_05;[41, 21, 2, 11]
s01e02_seg02_clip_06;[41, 17, 11]
s01e02_seg02_clip_07;[41, 28, 41, 6, 11, 30]
s01e02_seg02_clip_08;[]
s01e02_seg02_clip_09;[37, 37]
s01e02_seg02_clip_10;[6, 30, 33]
s01e02_seg02_clip_11;[41, 31, 31]
s01e02_seg02_clip_12;[2]
s01e02_seg02_clip_13;[19, 30, 2]
s01e02_seg02_clip_14;[]
s01e02_seg02_clip_15;[9, 9, 42, 21]
s01e03_seg01_clip_00;[]
s01e03_seg01_clip_01;[2, 41, 16, 14, 41, 41]
s01e03_seg02_clip_00;[26, 6, 2, 31]
s01e03_seg02_clip_01;[33, 17, 42]
s01e03_seg02_clip_02;[41, 2, 41, 42, 11, 11, 31]
s01e03_seg02_clip_03;[7, 31]
s01e03_seg02_clip_04;[6, 6, 2]
s01e03_seg02_clip_05;[]
s01e03_seg02_clip_06;[20, 17, 0, 17]
s01e03_seg02_clip_07;[9, 6, 38]
s01e03_seg02_clip_08;[30, 41]
s01e03_seg02_clip_09;[4, 17, 11, 42, 6]
s01e03_seg02_clip_10;[6, 30, 17]
s01e03_seg02_clip_11;[]
s01e03_seg02_clip_12;[]
s01e03_seg02_clip_13;[30, 41, 14]
s01e03_seg02_clip_14;[41, 9, 9]
s01e03_seg02_clip_15;[28, 9, 9, 4]
s01e03_seg02_clip_16;[14, 14]
s01e03_seg02_clip_17;[28, 17, 17]
s01e03_seg02_clip_18;[]
s01e04_seg01_clip_00;[9, 9, 31, 21, 21, 9, 9]
s01e04_seg01_clip_01;[28]
s01e04_seg01_clip_02;[6, 29, 6, 6]
s01e04_seg02_clip_00;[2, 17]
s01e04_seg02_clip_01;[2, 9, 6, 30, 6, 2, 11, 42]
s01e04_seg02_clip_02;[]
s01e04_seg02_clip_03;[]
s01e04_seg02_clip_04;[5, 11]
s01e04_seg02_clip_05;[33, 42, 6, 33, 6]
s01e04_seg02_clip_06;[30, 38, 42]
s01e04_seg02_clip_07;[29, 9, 30, 19, 30, 14]
s01e04_seg02_clip_08;[9, 6, 29, 21]
s01e04_seg02_clip_09;[41, 19, 14, 30]
s01e04_seg02_clip_10;[41]
s01e04_seg02_clip_11;[14]
s01e04_seg02_clip_12;[6, 41]
s01e04_seg02_clip_13;[14, 14]
s01e04_seg02_clip_14;[]
s01e04_seg02_clip_15;[]
s01e04_seg02_clip_16;[21, 17, 37]
s01e05_seg01_clip_00;[]
s01e05_seg01_clip_01;[14, 6, 6, 14, 6]
s01e05_seg01_clip_02;[]
s01e05_seg01_clip_03;[]
s01e05_seg02_clip_00;[]
s01e05_seg02_clip_01;[41, 14, 41]
s01e05_seg02_clip_02;[4, 33, 4]
s01e05_seg02_clip_03;[14, 2, 14]
s01e05_seg02_clip_04;[14, 11, 28, 21, 30]
s01e05_seg02_clip_05;[]
s01e05_seg02_clip_06;[2, 14, 36, 31, 2, 36]
s01e05_seg02_clip_07;[41]
s01e05_seg02_clip_08;[2, 6, 6, 21, 40, 6, 6]
s01e05_seg02_clip_09;[33, 41, 21, 6, 30]
s01e05_seg02_clip_10;[2, 31, 17, 2, 40, 31, 17]
s01e05_seg02_clip_11;[]
s01e05_seg02_clip_12;[]
s01e05_seg02_clip_13;[]
s01e06_seg01_clip_00;[41]
s01e06_seg01_clip_01;[]
s01e06_seg02_clip_00;[30, 38, 9, 30, 9, 30]
s01e06_seg02_clip_01;[]
s01e06_seg02_clip_02;[35, 35]
s01e06_seg02_clip_03;[9, 9]
s01e06_seg02_clip_04;[9, 9]
s01e06_seg02_clip_05;[28, 14, 9, 14, 14, 14, 14]
s01e06_seg02_clip_06;[19, 14, 14, 19, 14, 19]
s01e06_seg02_clip_07;[]
s01e06_seg02_clip_08;[19, 14, 14]
s01e06_seg02_clip_09;[29, 29, 0, 0, 31, 2]
s01e06_seg02_clip_10;[]
s01e06_seg02_clip_11;[]
s01e06_seg02_clip_12;[11]
s01e06_seg02_clip_13;[21, 21, 6]
s01e06_seg02_clip_14;[14, 24, 14, 2, 4, 2, 14, 14, 2, 2]
s01e06_seg02_clip_15;[]
s01e06_seg02_clip_16;[26, 26, 26, 33, 26, 2, 33, 14, 14]
s01e06_seg02_clip_17;[9, 30, 19, 28, 30]
s01e07_seg01_clip_00;[41, 31, 29]
s01e07_seg01_clip_01;[]
s01e07_seg02_clip_00;[28, 11]
s01e07_seg02_clip_01;[28, 17, 14]
s01e07_seg02_clip_02;[6, 28]
s01e07_seg02_clip_03;[28, 17, 28, 9]
s01e07_seg02_clip_04;[17, 17, 2, 21, 17, 17, 21]
s01e07_seg02_clip_05;[19, 17]
s01e07_seg02_clip_07;[]
s01e07_seg02_clip_08;[]
s01e07_seg02_clip_09;[]
s01e07_seg02_clip_10;[]
s01e07_seg02_clip_11;[]
s01e07_seg02_clip_12;[]
s01e07_seg02_clip_13;[]
s01e07_seg02_clip_14;[]
s01e07_seg02_clip_15;[]
s01e07_seg02_clip_16;[]
s01e07_seg02_clip_17;[]
s01e08_seg01_clip_00;[]
s01e08_seg01_clip_01;[]
s01e08_seg01_clip_02;[]
s01e08_seg01_clip_03;[]
s01e08_seg02_clip_00;[]
s01e08_seg02_clip_01;[]
s01e08_seg02_clip_02;[]
s01e08_seg02_clip_03;[]
s01e08_seg02_clip_04;[]
s01e08_seg02_clip_05;[]
s01e08_seg02_clip_06;[]
s01e08_seg02_clip_07;[]
s01e08_seg02_clip_08;[]
s01e08_seg02_clip_09;[]
s01e08_seg02_clip_10;[]
s01e08_seg02_clip_11;[]
s01e08_seg02_clip_12;[]
s01e08_seg02_clip_13;[]
s01e08_seg02_clip_14;[]
s01e09_seg01_clip_00;[]
s01e09_seg01_clip_01;[]
s01e09_seg02_clip_00;[]
s01e09_seg02_clip_01;[]
s01e09_seg02_clip_02;[]
s01e09_seg02_clip_03;[]
s01e09_seg02_clip_04;[]
s01e09_seg02_clip_05;[]
s01e09_seg02_clip_06;[]
s01e09_seg02_clip_07;[]
s01e09_seg02_clip_08;[]
s01e09_seg02_clip_09;[]
s01e09_seg02_clip_10;[]
s01e09_seg02_clip_11;[]
s01e09_seg02_clip_12;[]
s01e09_seg02_clip_13;[]
s01e09_seg02_clip_14;[]
s01e10_seg01_clip_00;[]
s01e10_seg01_clip_01;[]
s01e10_seg01_clip_02;[]
s01e10_seg02_clip_00;[]
s01e10_seg02_clip_01;[]
s01e10_seg02_clip_02;[]
s01e10_seg02_clip_03;[]
s01e10_seg02_clip_04;[]
s01e10_seg02_clip_05;[]
s01e10_seg02_clip_06;[]
s01e10_seg02_clip_07;[]
s01e10_seg02_clip_08;[]
s01e10_seg02_clip_09;[]
s01e10_seg02_clip_10;[]
s01e10_seg02_clip_11;[]
s01e10_seg02_clip_12;[9, 17, 19, 30, 30, 30]
s01e10_seg02_clip_13;[]
s01e10_seg02_clip_14;[2]
s01e10_seg02_clip_15;[20, 42, 42]
s01e11_seg01_clip_00;[]
s01e11_seg01_clip_01;[41, 11, 11, 2, 33]
s01e11_seg02_clip_00;[9, 11]
s01e11_seg02_clip_01;[]
s01e11_seg02_clip_02;[11, 29, 21, 21, 2, 11, 11]
s01e11_seg02_clip_03;[]
